,H3_cell,mean_price,median_price,total_paid,count,geometry
0,85182993fffffff,290000.0,275000.0,3190000,11,"POLYGON ((-5.39163649541092 51.97830689396502, -5.494393955936717 51.92499627265971, -5.463929447656547 51.83907181114937, -5.331095374524543 51.80648091569761, -5.228511136178179 51.85972339013873, -5.258587548629632 51.94562471981433, -5.39163649541092 51.97830689396502))"
1,85182997fffffff,311705.82352941175,235000.0,5298999,17,"POLYGON ((-5.228511136178179 51.85972339013873, -5.331095374524543 51.80648091569761, -5.300968863578987 51.72047400887718, -5.168644474435362 51.68773355972245, -5.066234695487872 51.74090847329129, -5.095974655253904 51.82689121091614, -5.228511136178179 51.85972339013873))"
2,85182d23fffffff,185800.0,170000.0,10033200,54,"POLYGON ((-5.082651351106127 52.13731186900968, -5.185764733627501 52.08446484969014, -5.155739235845158 51.99866978786616, -5.022990493881321 51.96574592485506, -4.920055011909874 52.01852567374181, -4.949690184700649 52.10429636831296, -5.082651351106127 52.13731186900968))"
3,85182d27fffffff,217619.11627906977,192000.0,9357622,43,"POLYGON ((-4.920055011909874 52.01852567374181, -5.022990493881321 51.96574592485506, -4.99330251460907 51.8798688644427, -4.861067605632378 51.84679677048858, -4.758311219715988 51.89950984639003, -4.787610469138753 51.98536150263083, -4.920055011909874 52.01852567374181))"
4,85182d2ffffffff,276070.3125,226000.0,17668500,64,"POLYGON ((-5.155739235845158 51.99866978786616, -5.258587548629632 51.94562471981433, -5.228511136178179 51.85972339013873, -5.095974655253904 51.82689121091614, -4.99330251460907 51.8798688644427, -5.022990493881321 51.96574592485506, -5.155739235845158 51.99866978786616))"
5,85182d37fffffff,358458.3333333333,298000.0,8603000,24,"POLYGON ((-4.846490379003559 52.15687757631154, -4.949690184700649 52.10429636831296, -4.920055011909874 52.01852567374181, -4.787610469138753 51.98536150263083, -4.684591499925723 52.03787618657623, -4.713836061736165 52.12362137819722, -4.846490379003559 52.15687757631154))"
8,85187293fffffff,362045.45454545453,390000.0,3982500,11,"POLYGON ((-6.375900417630357 50.00201110786252, -6.475041217562749 49.94600678958152, -6.443971376780897 49.85867260511042, -6.314123014128928 49.82736409993692, -6.215132995378246 49.88329807586974, -6.245840333401537 49.97061072422721, -6.375900417630357 50.00201110786252))"
9,85187413fffffff,427405.2631578947,410000.0,8120700,19,"POLYGON ((-4.644286465227518 50.84460414227664, -4.745225563250929 50.79110785756839, -4.716589315562054 50.70440993741649, -4.58738720469263 50.67123703084574, -4.486623252181782 50.72466808674839, -4.514886110438098 50.81133710029483, -4.644286465227518 50.84460414227664))"
10,85187483fffffff,253704.66129032258,257500.0,15729689,62,"POLYGON ((-4.340812135809276 51.00418386722088, -4.442079299302558 50.95114230454934, -4.413871000975536 50.86457375009718, -4.284770729519976 50.83107672296119, -4.183683065913268 50.8840539917421, -4.211516032001266 50.970592403415, -4.340812135809276 51.00418386722088))"
11,85187487fffffff,315011.36363636365,288750.0,13860500,44,"POLYGON ((-4.183683065913268 50.8840539917421, -4.284770729519976 50.83107672296119, -4.256881457391906 50.74443773084482, -4.128278133462571 50.71080696363047, -4.027370979875902 50.76372049726491, -4.054886506355523 50.85032835634127, -4.183683065913268 50.8840539917421))"
12,8518748bfffffff,313864.5641025641,255000.0,48962872,156,"POLYGON ((-4.571678005498153 50.98450341518569, -4.672869909616042 50.9312017241846, -4.644286465227518 50.84460414227664, -4.514886110438098 50.81133710029483, -4.413871000975536 50.86457375009718, -4.442079299302558 50.95114230454934, -4.571678005498153 50.98450341518569))"
13,8518748ffffffff,298888.77358490566,230000.0,15841105,53,"POLYGON ((-4.413871000975536 50.86457375009718, -4.514886110438098 50.81133710029483, -4.486623252181782 50.72466808674839, -4.357718726381222 50.69126556708913, -4.256881457391906 50.74443773084482, -4.284770729519976 50.83107672296119, -4.413871000975536 50.86457375009718))"
14,85187493fffffff,276995.7424892704,230000.0,129080016,466,"POLYGON ((-4.267444953340611 51.14349702000106, -4.368965070136163 51.09065121698396, -4.340812135809276 51.00418386722088, -4.211516032001266 50.970592403415, -4.110177089009285 51.02337410252889, -4.137952936533132 51.10981119042187, -4.267444953340611 51.14349702000106))"
15,85187497fffffff,292450.54807692306,232500.0,30414857,104,"POLYGON ((-4.110177089009285 51.02337410252889, -4.211516032001266 50.970592403415, -4.183683065913268 50.8840539917421, -4.054886506355523 50.85032835634127, -3.953729742701045 50.90304651700967, -3.981187227848731 50.98955367382511, -4.110177089009285 51.02337410252889))"
16,8518749bfffffff,259856.91666666666,222500.0,3118283,12,"POLYGON ((-4.498762229342218 51.12410632944464, -4.600207851160959 51.07099991098289, -4.571678005498153 50.98450341518569, -4.442079299302558 50.95114230454934, -4.340812135809276 51.00418386722088, -4.368965070136163 51.09065121698396, -4.498762229342218 51.12410632944464))"
18,8519400bfffffff,180520.5128205128,152500.0,7040300,39,"POLYGON ((-0.04239074790099406 53.72908822951811, -0.1490177749095952 53.6830492214841, -0.1269143711643511 53.59897939343111, 0.001409834311970959 53.56099362723907, 0.1077909500074361 53.60698223349774, 0.08609371537287519 53.69100682387285, -0.04239074790099406 53.72908822951811))"
19,8519400ffffffff,212617.3076923077,160000.0,8292075,39,"POLYGON ((0.1077909500074361 53.60698223349774, 0.001409834311970959 53.56099362723907, 0.0232019394049032 53.47685469621947, 0.1509712148568125 53.43875040067279, 0.2571060313370548 53.48468931310462, 0.2357178085425575 53.56878203289552, 0.1077909500074361 53.60698223349774))"
20,8519401bfffffff,129832.70370370371,120000.0,10516449,81,"POLYGON ((0.04248329617456244 53.8588716972588, -0.06439992943766677 53.81304323728322, -0.04239074790099406 53.72908822951811, 0.08609371537287519 53.69100682387285, 0.1927289793163692 53.73678509446205, 0.1711276809147541 53.82069477549482, 0.04248329617456244 53.8588716972588))"
21,85194023fffffff,220997.5,155000.0,4419950,20,"POLYGON ((0.4055599649987281 53.36221307809506, 0.2996718067675038 53.31632315741447, 0.3208500382879735 53.23205039028053, 0.4475170340327314 53.19371550077236, 0.5531582032544099 53.23955712584712, 0.5323792894626892 53.32378175771275, 0.4055599649987281 53.36221307809506))"
22,8519402bfffffff,194787.06666666668,171000.0,29218060,150,"POLYGON ((0.1724549366375802 53.35454382436485, 0.06657152188867078 53.30839524322997, 0.08814969039523178 53.22407539279637, 0.2152112714367204 53.18595102732819, 0.3208500382879735 53.23205039028053, 0.2996718067675038 53.31632315741447, 0.1724549366375802 53.35454382436485))"
23,8519402ffffffff,183199.8661087866,152000.0,43784768,239,"POLYGON ((0.3208500382879735 53.23205039028053, 0.2152112714367204 53.18595102732819, 0.2364845629806597 53.10156548073592, 0.3629988700845644 53.06332715930346, 0.4683926460475609 53.10937799402411, 0.4475170340327314 53.19371550077236, 0.3208500382879735 53.23205039028053))"
24,8519403bfffffff,137536.08653846153,135000.0,14303753,104,"POLYGON ((0.2571060313370548 53.48468931310462, 0.1509712148568125 53.43875040067279, 0.1724549366375802 53.35454382436485, 0.2996718067675038 53.31632315741447, 0.4055599649987281 53.36221307809506, 0.3844778416081305 53.44637247730561, 0.2571060313370548 53.48468931310462))"
25,85194043fffffff,188663.1733716475,135000.0,590893059,3132,"POLYGON ((-0.4297586799123355 53.84265575326241, -0.5366166836257754 53.79630328335887, -0.513790050197752 53.71226083861591, -0.3845144438969616 53.67461385755767, -0.27789942826918 53.72091429135862, -0.3003170682787332 53.80491355558511, -0.4297586799123355 53.84265575326241))"
26,85194047fffffff,161521.2311557789,142500.0,32142725,199,"POLYGON ((-0.27789942826918 53.72091429135862, -0.3845144438969616 53.67461385755767, -0.3620043141245897 53.59049986183638, -0.2332859393810246 53.55273028265488, -0.1269143711643511 53.59897939343111, -0.1490177749095952 53.6830492214841, -0.27789942826918 53.72091429135862))"
27,8519404bfffffff,241066.8196286472,199950.0,90882191,377,"POLYGON ((-0.666451991595394 53.83382548357444, -0.7732916485705119 53.78721000138858, -0.7500555275465403 53.70312545760413, -0.6203892627801073 53.66569830729542, -0.513790050197752 53.71226083861591, -0.5366166836257754 53.79630328335887, -0.666451991595394 53.83382548357444))"
28,8519404ffffffff,179477.3680981595,155000.0,58509622,326,"POLYGON ((-0.513790050197752 53.71226083861591, -0.6203892627801073 53.66569830729542, -0.5974718902105299 53.58154121954265, -0.4683625808633799 53.54398956917153, -0.3620043141245897 53.59049986183638, -0.3845144438969616 53.67461385755767, -0.513790050197752 53.71226083861591))"
29,85194053fffffff,201590.18215613381,185000.0,54227759,269,"POLYGON ((-0.3453759486192545 53.97272494827599, -0.4524935160465283 53.92658298965491, -0.4297586799123355 53.84265575326241, -0.3003170682787332 53.80491355558511, -0.1934445473313622 53.85100367915626, -0.2157686334457191 53.93488764795185, -0.3453759486192545 53.97272494827599))"
30,85194057fffffff,145376.64583333334,125250.0,69780790,480,"POLYGON ((-0.1934445473313622 53.85100367915626, -0.3003170682787332 53.80491355558511, -0.27789942826918 53.72091429135862, -0.1490177749095952 53.6830492214841, -0.04239074790099406 53.72908822951811, -0.06439992943766677 53.81304323728322, -0.1934445473313622 53.85100367915626))"
31,8519405bfffffff,287484.5986842105,226500.0,87395318,304,"POLYGON ((-0.5824975882358464 53.96420013043572, -0.6895980901110259 53.91779490572579, -0.666451991595394 53.83382548357444, -0.5366166836257754 53.79630328335887, -0.4297586799123355 53.84265575326241, -0.4524935160465283 53.92658298965491, -0.5824975882358464 53.96420013043572))"
32,85194063fffffff,249663.88888888888,213500.0,8987900,36,"POLYGON ((-0.2110893737047388 53.46854620444039, -0.3172062236389127 53.42208744378737, -0.2949175468126654 53.33778969315732, -0.1669148248774235 53.29999557604085, -0.06103983282686454 53.34640350569517, -0.0829257520593922 53.43065620108092, -0.2110893737047388 53.46854620444039))"
33,85194067fffffff,215001.04761904763,185000.0,22575110,105,"POLYGON ((-0.06103983282686454 53.34640350569517, -0.1669148248774235 53.29999557604085, -0.1449361384423178 53.21562970017968, -0.0174830319751611 53.17771759882081, 0.08814969039523178 53.22407539279637, 0.06657152188867078 53.30839524322997, -0.06103983282686454 53.34640350569517))"
34,8519406bfffffff,227776.92307692306,189500.0,23688800,104,"POLYGON ((-0.4457610158490804 53.45976141351786, -0.5518632906529803 53.41304172092504, -0.5291713353834577 53.32869998456034, -0.4007804196032888 53.29112174308825, -0.2949175468126654 53.33778969315732, -0.3172062236389127 53.42208744378737, -0.4457610158490804 53.45976141351786))"
35,8519406ffffffff,257503.9019607843,199950.0,13132699,51,"POLYGON ((-0.2949175468126654 53.33778969315732, -0.4007804196032888 53.29112174308825, -0.3784006729870744 53.20671090544, -0.2505591566288708 53.16901279799396, -0.1449361384423178 53.21562970017968, -0.1669148248774235 53.29999557604085, -0.2949175468126654 53.33778969315732))"
36,85194073fffffff,145614.0592145015,129950.0,240991268,1655,"POLYGON ((-0.1269143711643511 53.59897939343111, -0.2332859393810246 53.55273028265488, -0.2110893737047388 53.46854620444039, -0.0829257520593922 53.43065620108092, 0.0232019394049032 53.47685469621947, 0.001409834311970959 53.56099362723907, -0.1269143711643511 53.59897939343111))"
37,85194077fffffff,209776.46979865772,188750.0,62513388,298,"POLYGON ((0.0232019394049032 53.47685469621947, -0.0829257520593922 53.43065620108092, -0.06103983282686454 53.34640350569517, 0.06657152188867078 53.30839524322997, 0.1724549366375802 53.35454382436485, 0.1509712148568125 53.43875040067279, 0.0232019394049032 53.47685469621947))"
38,8519407bfffffff,226026.95588235295,189800.0,15369833,68,"POLYGON ((-0.3620043141245897 53.59049986183638, -0.4683625808633799 53.54398956917153, -0.4457610158490804 53.45976141351786, -0.3172062236389127 53.42208744378737, -0.2110893737047388 53.46854620444039, -0.2332859393810246 53.55273028265488, -0.3620043141245897 53.59049986183638))"
39,851940cbfffffff,165426.19047619047,141250.0,20843700,126,"POLYGON ((-0.2606400163387274 54.10246742357981, -0.3680179195805043 54.05653641860997, -0.3453759486192545 53.97272494827599, -0.2157686334457191 53.93488764795185, -0.1086378513396644 53.98076701745049, -0.1308673097374058 54.0645351344718, -0.2606400163387274 54.10246742357981))"
40,851940cffffffff,163033.75912408758,138000.0,22335625,137,"POLYGON ((-0.1086378513396644 53.98076701745049, -0.2157686334457191 53.93488764795185, -0.1934445473313622 53.85100367915626, -0.06439992943766677 53.81304323728322, 0.04248329617456244 53.8588716972588, 0.02056940669612442 53.94271132219645, -0.1086378513396644 53.98076701745049))"
41,851940dbfffffff,150546.3040201005,139225.0,59917429,398,"POLYGON ((-0.1755490338358478 54.23188219414396, -0.2831880444415337 54.18616257774539, -0.2606400163387274 54.10246742357981, -0.1308673097374058 54.0645351344718, -0.02347751129448608 54.11020331353107, -0.04561125838709093 54.19385502999277, -0.1755490338358478 54.23188219414396))"
42,85194103fffffff,311621.5610859729,270000.0,68868365,221,"POLYGON ((1.220398706054021 52.87712542072891, 1.115508111067344 52.83167881260074, 1.135102632084267 52.74720765194168, 1.259198132896651 52.70823584155912, 1.363838538977947 52.75363780524542, 1.344633521999528 52.83805605413297, 1.220398706054021 52.87712542072891))"
43,85194107fffffff,257448.0330237358,219497.5,498934288,1938,"POLYGON ((1.363838538977947 52.75363780524542, 1.259198132896651 52.70823584155912, 1.278503554156162 52.62370663240103, 1.402062037229967 52.58463304416347, 1.506452094076475 52.62999102873953, 1.487533900335468 52.71446641292761, 1.363838538977947 52.75363780524542))"
44,8519410bfffffff,299169.5035460993,260000.0,42182900,141,"POLYGON ((0.9908730061476685 52.87054675120488, 0.8859745145344897 52.82484589618485, 0.9059592695930241 52.74032284482958, 1.030452181396206 52.70155236830836, 1.135102632084267 52.74720765194168, 1.115508111067344 52.83167881260074, 0.9908730061476685 52.87054675120488))"
45,8519410ffffffff,271398.87543252594,246000.0,313737100,1156,"POLYGON ((1.135102632084267 52.74720765194168, 1.030452181396206 52.70155236830836, 1.050145577047749 52.61697034897262, 1.174101342417723 52.57809625443504, 1.278503554156162 52.62370663240103, 1.259198132896651 52.70823584155912, 1.135102632084267 52.74720765194168))"
46,85194113fffffff,302711.8302872063,270000.0,115938631,383,"POLYGON ((1.306035451941844 53.00672259521522, 1.200904094364053 52.9614851120101, 1.220398706054021 52.87712542072891, 1.344633521999528 52.83805605413297, 1.449512726630807 52.88324915266524, 1.430409152470217 52.96755583223084, 1.306035451941844 53.00672259521522))"
47,85194117fffffff,237502.62826086956,211500.0,109251209,460,"POLYGON ((1.449512726630807 52.88324915266524, 1.344633521999528 52.83805605413297, 1.363838538977947 52.75363780524542, 1.487533900335468 52.71446641292761, 1.592160804722779 52.75961579795332, 1.573344526614233 52.84398012047066, 1.449512726630807 52.88324915266524))"
48,8519411bfffffff,394228.616,329997.5,98557154,250,"POLYGON ((1.076127207206729 53.00045035745669, 0.9709866085705763 52.95495843327163, 0.9908730061476685 52.87054675120488, 1.115508111067344 52.83167881260074, 1.220398706054021 52.87712542072891, 1.200904094364053 52.9614851120101, 1.076127207206729 53.00045035745669))"
49,85194123fffffff,301511.4671532847,250000.0,41307071,137,"POLYGON ((1.421081113008476 52.50004721315996, 1.316927313363889 52.45448108136587, 1.336046246076628 52.36978542587867, 1.458935390173195 52.33071036273516, 1.562840628923834 52.37623290158768, 1.544105166838067 52.46087393125873, 1.421081113008476 52.50004721315996))"
50,85194127fffffff,358837.87046632124,290000.0,69255709,193,"POLYGON ((1.562840628923834 52.37623290158768, 1.458935390173195 52.33071036273516, 1.477771174956807 52.24596003210688, 1.60013084849948 52.20678759889599, 1.703787401372272 52.25226719173328, 1.685332843635716 52.33696200040612, 1.562840628923834 52.37623290158768))"
51,8519412bfffffff,279125.6408668731,250500.0,90157582,323,"POLYGON ((1.193506138025941 52.49345670154413, 1.08934151483883 52.44763836788881, 1.108844663407516 52.36288909531547, 1.232128111634322 52.32401160693584, 1.336046246076628 52.36978542587867, 1.316927313363889 52.45448108136587, 1.193506138025941 52.49345670154413))"
52,8519412ffffffff,337405.1518324607,299500.0,64444384,191,"POLYGON ((1.336046246076628 52.36978542587867, 1.232128111634322 52.32401160693584, 1.251345884611225 52.23920675679882, 1.374099690703379 52.2002300804246, 1.477771174956807 52.24596003210688, 1.458935390173195 52.33071036273516, 1.336046246076628 52.36978542587867))"
53,85194133fffffff,291332.0855614973,250000.0,54479100,187,"POLYGON ((1.506452094076475 52.62999102873953, 1.402062037229967 52.58463304416347, 1.421081113008476 52.50004721315996, 1.544105166838067 52.46087393125873, 1.648244738505904 52.50618859573208, 1.629610619326301 52.59071969636305, 1.506452094076475 52.62999102873953))"
54,85194137fffffff,218518.30307467058,189000.0,149248001,683,"POLYGON ((1.648244738505904 52.50618859573208, 1.544105166838067 52.46087393125873, 1.562840628923834 52.37623290158768, 1.685332843635716 52.33696200040612, 1.789221818033625 52.3822339974214, 1.770869047490121 52.46681939912106, 1.648244738505904 52.50618859573208))"
55,8519413bfffffff,323664.09076682315,275000.0,206821354,639,"POLYGON ((1.278503554156162 52.62370663240103, 1.174101342417723 52.57809625443504, 1.193506138025941 52.49345670154413, 1.316927313363889 52.45448108136587, 1.421081113008476 52.50004721315996, 1.402062037229967 52.58463304416347, 1.278503554156162 52.62370663240103))"
56,85194143fffffff,503053.5619047619,380000.0,52820624,105,"POLYGON ((0.6150881449491086 52.98653022317164, 0.5099396752540106 52.94052723265687, 0.530611746287199 52.85601465729729, 0.6560390277065906 52.81755482833613, 0.7609419027926762 52.86351065269304, 0.740663006719026 52.94797329821292, 0.6150881449491086 52.98653022317164))"
57,85194147fffffff,267726.56296296295,225000.0,36143086,135,"POLYGON ((0.7609419027926762 52.86351065269304, 0.6560390277065906 52.81755482833613, 0.6764147112454869 52.73298091371785, 0.8013022509824965 52.69441351461037, 0.9059592695930241 52.74032284482958, 0.8859745145344897 52.82484589618485, 0.7609419027926762 52.86351065269304))"
58,8519414bfffffff,268949.0144927536,250000.0,74229928,276,"POLYGON ((0.3839701364618194 52.9788773721714, 0.2788230746593015 52.93261778666272, 0.2998889605792325 52.84805632123376, 0.4257080197307518 52.80980315625261, 0.530611746287199 52.85601465729729, 0.5099396752540106 52.94052723265687, 0.3839701364618194 52.9788773721714))"
59,8519414ffffffff,275036.3711790393,240000.0,62983329,229,"POLYGON ((0.530611746287199 52.85601465729729, 0.4257080197307518 52.80980315625261, 0.4464752902340908 52.72517941204107, 0.5717546204319798 52.68681682516413, 0.6764147112454869 52.73298091371785, 0.6560390277065906 52.81755482833613, 0.530611746287199 52.85601465729729))"
61,85194157fffffff,404686.162601626,330000.0,49776398,123,"POLYGON ((0.8458093158080984 52.99372039651988, 0.740663006719026 52.94797329821292, 0.7609419027926762 52.86351065269304, 0.8859745145344897 52.82484589618485, 0.9908730061476685 52.87054675120488, 0.9709866085705763 52.95495843327163, 0.8458093158080984 52.99372039651988))"
62,8519415bfffffff,501738.0,412000.0,12543450,25,"POLYGON ((0.4683926460475609 53.10937799402411, 0.3629988700845644 53.06332715930346, 0.3839701364618194 52.9788773721714, 0.5099396752540106 52.94052723265687, 0.6150881449491086 52.98653022317164, 0.5945123039848268 53.07093102160814, 0.4683926460475609 53.10937799402411))"
63,85194163fffffff,240445.04210526316,206995.0,68526837,285,"POLYGON ((0.8213843329111187 52.60977970632176, 0.7169681519291641 52.56366236425442, 0.7371465388215296 52.47891841894724, 0.8613538721905883 52.44034333158931, 0.9655258951103352 52.48641458715837, 0.9457346508606187 52.57110684694678, 0.8213843329111187 52.60977970632176))"
64,85194167fffffff,326437.77456647396,285000.0,56473735,173,"POLYGON ((0.9655258951103352 52.48641458715837, 0.8613538721905883 52.44034333158931, 0.8812419475963249 52.35554145712137, 1.004917021465023 52.31686327231878, 1.108844663407516 52.36288909531547, 1.08934151483883 52.44763836788881, 0.9655258951103352 52.48641458715837))"
65,8519416bfffffff,218994.99444444446,200000.0,39419099,180,"POLYGON ((0.5922260651431025 52.60213225546136, 0.4878081076711725 52.55576037229977, 0.5083742960131257 52.47096576912291, 0.6329705588084736 52.43259353614003, 0.7371465388215296 52.47891841894724, 0.7169681519291641 52.56366236425442, 0.5922260651431025 52.60213225546136))"
66,8519416ffffffff,224344.56326530612,185000.0,54964418,245,"POLYGON ((0.7371465388215296 52.47891841894724, 0.6329705588084736 52.43259353614003, 0.6532442374002405 52.34774008131468, 0.7773082053426663 52.30926292063635, 0.8812419475963249 52.35554145712137, 0.8613538721905883 52.44034333158931, 0.7371465388215296 52.47891841894724))"
67,85194173fffffff,252864.83046683046,215000.0,102915986,407,"POLYGON ((0.9059592695930241 52.74032284482958, 0.8013022509824965 52.69441351461037, 0.8213843329111187 52.60977970632176, 0.9457346508606187 52.57110684694678, 1.050145577047749 52.61697034897262, 1.030452181396206 52.70155236830836, 0.9059592695930241 52.74032284482958))"
68,85194177fffffff,278842.4667774086,245000.0,167863165,602,"POLYGON ((1.050145577047749 52.61697034897262, 0.9457346508606187 52.57110684694678, 0.9655258951103352 52.48641458715837, 1.08934151483883 52.44763836788881, 1.193506138025941 52.49345670154413, 1.174101342417723 52.57809625443504, 1.050145577047749 52.61697034897262))"
69,8519417bfffffff,246824.83116883118,223250.0,57016536,231,"POLYGON ((0.6764147112454869 52.73298091371785, 0.5717546204319798 52.68681682516413, 0.5922260651431025 52.60213225546136, 0.7169681519291641 52.56366236425442, 0.8213843329111187 52.60977970632176, 0.8013022509824965 52.69441351461037, 0.6764147112454869 52.73298091371785))"
70,851941a3fffffff,172785.7142857143,170000.0,2419000,14,"POLYGON ((1.820063318665049 52.76514414569436, 1.715453352911379 52.72024658363929, 1.733985100596674 52.63582603266513, 1.856741046826718 52.59635871345188, 1.961096552132608 52.6412141607985, 1.942950434858226 52.72557887697672, 1.820063318665049 52.76514414569436))"
71,851941abfffffff,211482.6442831216,203000.0,116526937,551,"POLYGON ((1.592160804722779 52.75961579795332, 1.487533900335468 52.71446641292761, 1.506452094076475 52.62999102873953, 1.629610619326301 52.59071969636305, 1.733985100596674 52.63582603266513, 1.715453352911379 52.72024658363929, 1.592160804722779 52.75961579795332))"
72,851941affffffff,181514.44675540764,159113.0,218180365,1202,"POLYGON ((1.733985100596674 52.63582603266513, 1.629610619326301 52.59071969636305, 1.648244738505904 52.50618859573208, 1.770869047490121 52.46681939912106, 1.874991006657601 52.51188334506056, 1.856741046826718 52.59635871345188, 1.733985100596674 52.63582603266513))"
74,85194203fffffff,151889.63334576652,130000.0,407216107,2681,"POLYGON ((-1.461029134144323 53.67280403653093, -1.567526897933987 53.62518673744879, -1.542976202028221 53.54086814540766, -1.4123366293113 53.50420539882269, -1.306069434381779 53.55176685722357, -1.33021122905395 53.63604671314501, -1.461029134144323 53.67280403653093))"
75,85194207fffffff,142673.37365475678,120500.0,331430247,2323,"POLYGON ((-1.306069434381779 53.55176685722357, -1.4123366293113 53.50420539882269, -1.388110482730093 53.41981174043124, -1.258023886613464 53.38301909643032, -1.151987899524547 53.43052541597309, -1.175807294290641 53.51487933031612, -1.306069434381779 53.55176685722357))"
76,8519420bfffffff,255435.27914110429,211000.0,249815703,978,"POLYGON ((-1.698721717224249 53.66171738121155, -1.805184485929516 53.61383488280752, -1.780224578034678 53.52947865621699, -1.649211087177057 53.49304237199022, -1.542976202028221 53.54086814540766, -1.567526897933987 53.62518673744879, -1.698721717224249 53.66171738121155))"
77,8519420ffffffff,176003.67974824138,145000.0,475385939,2701,"POLYGON ((-1.542976202028221 53.54086814540766, -1.649211087177057 53.49304237199022, -1.624577853007579 53.40861006575553, -1.494116803020415 53.37204199185134, -1.388110482730093 53.41981174043124, -1.4123366293113 53.50420539882269, -1.542976202028221 53.54086814540766))"
78,85194213fffffff,177171.2516325642,165000.0,406962365,2297,"POLYGON ((-1.378734788898298 53.80441667873625, -1.485496269940627 53.7570083355008, -1.461029134144323 53.67280403653093, -1.33021122905395 53.63604671314501, -1.223682337355066 53.68339939821499, -1.247738751219324 53.76756487427181, -1.378734788898298 53.80441667873625))"
79,85194217fffffff,141411.60330578513,124999.5,136886432,968,"POLYGON ((-1.223682337355066 53.68339939821499, -1.33021122905395 53.63604671314501, -1.306069434381779 53.55176685722357, -1.175807294290641 53.51487933031612, -1.069511620671945 53.5621770657056, -1.093244866733979 53.64641708882183, -1.223682337355066 53.68339939821499))"
